name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"banyumanik, semarang, indonesia",2026-04-17T22:00:00,26.9,30.1,24.6,87.25,0,0,,0,0,6.8,4,127.7,1011,86.6,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-17T23:00:00,26.8,29.7,24.4,86.72,0.1,100,rain,0,0,9.4,3.6,146.8,1011,89.9,24.1,0,0,0,10,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T00:00:00,26.5,26.5,24.2,87.21,0.1,100,rain,0,0,9.7,3.6,162.6,1011,92.6,22.7,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T01:00:00,26.3,26.3,24.1,87.72,0.1,100,rain,0,0,9,4.3,167.7,1010,93.9,24.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T02:00:00,25.8,25.8,23.8,88.74,0.1,100,rain,0,0,8.6,4.3,157.8,1010,92.3,24.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T03:00:00,25.5,25.5,23.9,90.88,0,0,,0,0,8.6,5,147.3,1009,65.9,24,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-18T04:00:00,25.3,25.3,23.7,90.87,0,0,,0,0,9.7,5.4,134,1009,55.3,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-18T05:00:00,25.9,25.9,24,89.28,0,0,,0,0,10.4,5,114,1009,28.2,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-18T06:00:00,25.8,25.8,24,89.81,0,0,,0,0,10.4,4,132.6,1010,29.5,24.1,3.6,0,0,10,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-18T07:00:00,26.4,26.4,24.3,88.26,0,0,,0,0,13.3,4.7,135.9,1011,31.9,24.1,119.1,0.4,1,10,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-18T08:00:00,28,32.2,24.5,81.32,0,0,,0,0,16.6,5.8,132.4,1011,27.9,23.8,328,1.2,3,10,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-18T09:00:00,29.1,33.9,24.3,75.37,0.1,100,rain,0,0,19.4,6.8,124.5,1011,30.7,24.1,501.9,1.8,5,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T10:00:00,30.3,35.7,24.3,70.34,0.2,100,rain,0,0,20.2,6.5,115.9,1011,16.7,23.5,689.6,2.5,7,30,Rain,rain,remote
"banyumanik, semarang, indonesia",2026-04-18T11:00:00,31.2,37.6,24.8,68.84,0,0,,0,0,20.9,6.1,97.7,1010,15.3,24.1,770.5,2.8,8,30,Clear,clear-day,remote
"banyumanik, semarang, indonesia",2026-04-18T12:00:00,32.1,39.3,25.1,66.59,0.1,100,rain,0,0,19.8,5.8,73.9,1009,21.4,23.9,872.9,3.1,9,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T13:00:00,32.5,40.5,25.5,66.67,0.1,100,rain,0,0,19.8,5.8,56.4,1008,41.5,19.4,786.2,2.8,8,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T14:00:00,32.3,38.8,24.5,63.53,0.5,100,rain,0,0,18.7,1.8,71,1008,70.8,8.6,677.7,2.4,7,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T15:00:00,31.8,38.4,24.7,66.14,0.6,100,rain,0,0,18,2.5,259.7,1007,92.1,18.9,438.5,1.6,4,30,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T16:00:00,29.6,35.4,25,76.36,0.6,100,rain,0,0,14.4,2.5,16,1007,93,23.9,313.3,1.1,3,30,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T17:00:00,28.7,33.3,24.4,77.6,0.1,100,rain,0,0,13,2.2,53.7,1008,91.8,6.5,146.4,0.5,1,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T18:00:00,28,32.4,24.8,82.79,0,0,,0,0,7.9,1.8,273.8,1009,94.4,24.1,14.3,0.1,0,10,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-18T19:00:00,27.7,31.6,24.5,82.75,0,0,,0,0,4.7,4,248.5,1010,92,24.1,0,0,0,10,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-18T20:00:00,27.8,31.9,24.6,82.76,0.1,100,rain,0,0,6.8,1.8,240.3,1011,97.4,24.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T21:00:00,27.4,31.3,25,86.77,0.1,100,rain,0,0,6.5,2.2,215.7,1011,93.5,24.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T22:00:00,26.4,26.4,24.3,88.26,0.1,100,rain,0,0,6.1,3.6,209,1011,96.1,24.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-18T23:00:00,26,26,23.9,88.22,0,0,,0,0,7.6,4.3,214.1,1011,85.1,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-19T00:00:00,26.1,26.1,24.2,89.3,0,0,,0,0,8.3,4.3,226.1,1011,60.8,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-19T01:00:00,26.3,26.3,24.1,87.72,0,0,,0,0,5.8,2.9,229.8,1010,46.3,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-19T02:00:00,25.8,25.8,24.4,91.99,0,0,,0,0,5.8,1.4,171.5,1010,52.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-19T03:00:00,25.2,25.2,24.2,94.2,0,0,,0,0,3.6,2.9,141.2,1010,55,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-19T04:00:00,25.2,25.2,24.2,94.2,0.1,100,rain,0,0,7.9,3.2,126.3,1010,65.8,24.1,0,0,0,10,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-19T05:00:00,25.3,25.3,23.9,91.97,0,0,,0,0,10.8,5.4,114.5,1010,56,24.1,0,0,0,3,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-19T06:00:00,25.2,25.2,23.9,92.52,0,0,,0,0,10.4,5.8,122.1,1011,46.4,24.1,3.2,0,0,10,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-19T07:00:00,25.2,25.2,22.5,85.01,0,0,,0,0,11.5,8.6,121.4,1011,15.8,24.1,140,0.5,1,10,Clear,clear-day,remote
"banyumanik, semarang, indonesia",2026-04-19T08:00:00,26.7,26.7,23.1,80.66,0,0,,0,0,13.3,10.4,108.9,1012,7.7,24.1,382,1.4,4,10,Clear,clear-day,remote
"banyumanik, semarang, indonesia",2026-04-19T09:00:00,28.1,31.6,23.4,75.67,0,0,,0,0,13,11.2,115.2,1012,7.3,24.1,608,2.2,6,10,Clear,clear-day,remote
"banyumanik, semarang, indonesia",2026-04-19T10:00:00,29.5,33.8,23.5,70.19,0,0,,0,0,12.2,10.8,113.9,1011,5,24.1,789,2.8,8,30,Clear,clear-day,remote
"banyumanik, semarang, indonesia",2026-04-19T11:00:00,30.5,35.2,23.5,66.27,0,0,,0,0,11.2,11.2,97.9,1010,13.7,24.1,909,3.3,9,30,Clear,clear-day,remote
"banyumanik, semarang, indonesia",2026-04-19T12:00:00,31.2,35.9,23.3,62.91,0.1,100,rain,0,0,9.7,10.1,91.9,1009,44.7,24.1,955,3.4,10,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-19T13:00:00,31.4,35.7,22.8,60.34,0.3,100,rain,0,0,7.9,7.9,92.5,1008,37.4,22.9,901,3.2,9,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-19T14:00:00,31.6,35.8,22.6,58.94,0,0,,0,0,7.6,5,122.1,1007,55.6,23.9,813,2.9,8,30,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-19T15:00:00,31.3,35.5,22.7,60.32,0.4,100,rain,0,0,7.2,4.7,133.3,1007,62.7,24.1,528,1.9,5,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-19T16:00:00,29.4,33.7,23.6,71.03,0.5,100,rain,0,0,10.1,7.6,121.2,1007,53.5,23.6,249,0.9,2,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-19T17:00:00,28.3,32.3,24,77.55,0.5,100,rain,0,0,14,9.4,127.5,1008,69.8,8.1,123,0.4,1,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-19T18:00:00,26.8,29.3,23.3,81.16,0.3,100,rain,0,0,11.5,9.7,135.2,1009,82.4,24,0,0,0,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-19T19:00:00,26.3,26.3,23.1,82.59,0.2,100,rain,0,0,10.4,9,146.5,1009,53.2,24.1,0,0,0,10,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-19T20:00:00,25.7,25.7,23,85.06,0,0,,0,0,9.7,8.3,151.2,1010,32.5,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-19T21:00:00,25.3,25.3,22.9,86.58,0,0,,0,0,7.9,6.1,152.9,1011,5.4,24.1,0,0,0,10,Clear,clear-night,remote
"banyumanik, semarang, indonesia",2026-04-19T22:00:00,25,25,22.8,87.61,0.1,100,rain,0,0,7.6,5.8,149.4,1011,12,24.1,0,0,0,10,Rain,rain,remote
"banyumanik, semarang, indonesia",2026-04-19T23:00:00,24.9,24.9,22.6,87.07,0,0,,0,0,6.1,5.4,163,1011,5,24.1,0,0,0,10,Clear,clear-night,remote
"banyumanik, semarang, indonesia",2026-04-20T00:00:00,24.5,24.5,22.4,88.1,0,0,,0,0,5.8,5.4,168,1010,6,24.1,0,0,0,10,Clear,clear-night,remote
"banyumanik, semarang, indonesia",2026-04-20T01:00:00,24.3,24.3,22.3,88.62,0,0,,0,0,6.1,5.4,157.9,1010,91.5,24.1,0,0,0,10,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-20T02:00:00,24.1,24.1,22.1,88.6,0,0,,0,0,7.6,6.5,158.4,1009,61.8,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-20T03:00:00,23.9,23.9,22,89.13,0,0,,0,0,7.9,6.8,148.2,1009,5.2,24.1,0,0,0,10,Clear,clear-night,remote
"banyumanik, semarang, indonesia",2026-04-20T04:00:00,23.7,23.7,21.8,89.11,0,0,,0,0,7.2,5.4,136.3,1009,9.6,24.1,0,0,0,10,Clear,clear-night,remote
"banyumanik, semarang, indonesia",2026-04-20T05:00:00,23.5,23.5,21.7,89.65,0,0,,0,0,6.8,5.4,144.3,1009,17.7,24.1,0,0,0,10,Clear,clear-night,remote
"banyumanik, semarang, indonesia",2026-04-20T06:00:00,23.6,23.6,21.8,89.65,0,0,,0,0,6.8,5.4,144.2,1010,63.8,24.1,4,0,0,10,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-20T07:00:00,25.2,25.2,22.3,83.98,0,0,,0,0,6.5,5,128.9,1011,9,24.1,139,0.5,1,10,Clear,clear-day,remote
"banyumanik, semarang, indonesia",2026-04-20T08:00:00,26.8,29,22.6,77.8,0,0,,0,0,5.8,5,112.6,1011,5.2,24.1,379,1.4,4,10,Clear,clear-day,remote
"banyumanik, semarang, indonesia",2026-04-20T09:00:00,28.4,31.7,22.9,72.14,0,0,,0,0,5,5,83.3,1011,16.8,24.1,605,2.2,6,10,Clear,clear-day,remote
"banyumanik, semarang, indonesia",2026-04-20T10:00:00,29.6,33.5,23,67.71,0,0,,0,0,5,6.5,55.4,1011,33.6,24.1,787,2.8,8,10,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-20T11:00:00,30.5,34.8,23.1,64.69,0,0,,0,0,5,6.1,44.9,1010,18.8,24.1,907,3.3,9,30,Clear,clear-day,remote
"banyumanik, semarang, indonesia",2026-04-20T12:00:00,31.2,35.6,23,61.78,0,0,,0,0,5.8,6.5,41.2,1009,72.7,24.1,954,3.4,10,30,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-20T13:00:00,31.7,36,22.7,58.96,0,0,,0,0,7.2,7.6,55.1,1008,100,24.1,916,3.3,9,30,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-20T14:00:00,31.9,36.1,22.6,57.95,0,0,,0,0,6.8,6.8,47.4,1007,98.8,24.1,819,2.9,8,30,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-20T15:00:00,31.6,35.8,22.6,58.94,0.1,100,rain,0,0,7.9,7.6,23.3,1006,97.3,24.1,650,2.3,7,30,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-20T16:00:00,30.6,35,23.2,64.71,0,0,,0,0,7.9,9.7,352.8,1007,75.2,24.1,433,1.6,4,30,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-20T17:00:00,28.3,32.3,24,77.55,0.1,100,rain,0,0,16.6,13.7,331.6,1007,23,24.1,182,0.7,2,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-20T18:00:00,26.9,29.4,23.2,80.2,0,0,,0,0,14.4,10.4,323.2,1008,99.5,24.1,0,0,0,30,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-20T19:00:00,26.8,29.2,23.1,80.19,0.1,100,rain,0,0,10.1,8.3,314,1009,96.9,24.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-20T20:00:00,26.6,26.6,23.1,81.14,0,0,,0,0,7.9,6.8,305,1010,88.8,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-20T21:00:00,26.3,26.3,23,82.09,0,0,,0,0,6.1,5,287.7,1010,10.8,24.1,0,0,0,10,Clear,clear-night,remote
"banyumanik, semarang, indonesia",2026-04-20T22:00:00,26,26,22.9,83.06,0,0,,0,0,5,4.3,268.7,1011,53.5,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-20T23:00:00,25.7,25.7,22.7,83.53,0,0,,0,0,4.3,4.3,231.5,1010,43.3,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-21T00:00:00,25.4,25.4,22.7,85.03,0,0,,0,0,4,4,197.1,1010,59.8,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-21T01:00:00,24.8,24.8,22.5,87.06,0,0,,0,0,5,5,179.8,1009,49.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-21T02:00:00,24.6,24.6,22.3,87.04,0,0,,0,0,5.8,5.8,163.7,1009,49,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-21T03:00:00,24.5,24.5,22.1,86.5,0,0,,0,0,6.1,6.1,160,1008,63.6,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-21T04:00:00,24.3,24.3,22,87.01,0,0,,0,0,7.2,6.5,159.6,1008,17.3,24.1,0,0,0,10,Clear,clear-night,remote
"banyumanik, semarang, indonesia",2026-04-21T05:00:00,24.3,24.3,22,87.01,0,0,,0,0,7.6,6.8,160.9,1009,10.1,24.1,0,0,0,10,Clear,clear-night,remote
"banyumanik, semarang, indonesia",2026-04-21T06:00:00,24.4,24.4,22.2,87.56,0,0,,0,0,8.3,7.2,148.8,1009,76,24.1,4,0,0,3,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-21T07:00:00,25.9,25.9,23,84.06,0,0,,0,0,9.4,7.2,135,1010,81,24.1,139,0.5,1,10,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-21T08:00:00,27.5,30.6,23.4,78.37,0,0,,0,0,8.6,7.2,114.1,1010,80.8,24.1,377,1.4,4,10,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-21T09:00:00,29,33.1,23.6,72.69,0,0,,0,0,9.7,8.3,104.4,1010,43.9,24.1,601,2.2,6,30,Partially cloudy,partly-cloudy-day,remote
"banyumanik, semarang, indonesia",2026-04-21T10:00:00,30.3,35,23.6,67.44,0,0,,0,0,10.8,9.4,96.9,1010,93.6,24.1,782,2.8,8,30,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-21T11:00:00,31.2,36.1,23.5,63.67,0,0,,0,0,9.4,8.6,80.7,1009,99.9,24.1,898,3.2,9,30,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-21T12:00:00,31.7,36.7,23.4,61.52,0.5,100,rain,0,0,7.9,7.6,69.6,1007,100,5.9,932,3.4,9,30,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-21T13:00:00,30.5,35.3,23.6,66.67,1.4,100,rain,0,0,6.1,5,78.9,1007,100,23.8,904,3.3,9,30,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-21T14:00:00,30.3,35.1,23.7,67.85,0,0,rain,0,0,4.3,4,33.1,1006,99.9,10,791,2.8,8,30,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-21T15:00:00,29.6,34.1,23.7,70.63,2.1,100,rain,0,0,3.2,4.3,1.8,1006,100,4,621,2.2,6,30,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-21T16:00:00,28.8,33.2,24.1,75.78,3.1,100,rain,0,0,2.9,4,360,1006,100,4.4,393,1.4,4,30,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-21T17:00:00,27.2,30.5,24.3,84.2,2.3,100,rain,0,0,7.2,6.1,336.7,1006,74.2,9.8,158,0.6,2,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-21T18:00:00,26.1,26.1,23.4,85.1,1.8,100,rain,0,0,6.1,6.1,319.1,1007,64.9,6.1,0,0,0,10,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-21T19:00:00,26,26,23.3,85.09,1.5,100,rain,0,0,2.9,2.5,297.5,1008,100,24.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-21T20:00:00,26,26,23.2,84.58,0,0,,0,0,1.4,0.4,343.7,1009,100,24.1,0,0,0,10,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-21T21:00:00,25.7,25.7,23.3,86.62,0.2,100,rain,0,0,1.8,1.1,139.2,1010,100,24.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-21T22:00:00,25.2,25.2,23.3,89.23,1,100,rain,0,0,2.5,1.8,154.7,1010,100,23.2,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-21T23:00:00,25,25,23.3,90.3,1.3,100,rain,0,0,2.5,1.4,188.6,1010,100,24.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T00:00:00,24.8,24.8,23.2,90.83,0.6,100,rain,0,0,2.2,1.4,202,1009,94.9,24.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T01:00:00,24.7,24.7,23.2,91.38,0.4,100,rain,0,0,3.2,2.9,206.7,1009,94.3,24.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T02:00:00,24.7,24.7,23,90.28,0,0,,0,0,4.3,4.3,228.1,1008,88.5,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"banyumanik, semarang, indonesia",2026-04-22T03:00:00,24.6,24.6,22.9,90.27,0.1,100,rain,0,0,4.3,4.3,238.2,1008,52.2,24.1,0,0,0,10,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T04:00:00,24.5,24.5,22.7,89.72,0.2,100,rain,0,0,4.7,4.7,250.4,1008,67,24.1,0,0,0,10,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T05:00:00,24.5,24.5,22.7,89.72,0.2,100,rain,0,0,4.7,4.3,273.1,1008,65.4,24.1,0,0,0,10,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T06:00:00,24.6,24.6,22.8,89.73,0.1,100,rain,0,0,6.1,5,280.4,1008,79.7,23.8,4,0,0,10,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T07:00:00,26.3,26.3,23.6,85.12,0.2,100,rain,0,0,10.4,6.5,286.8,1009,95.5,24.1,134,0.5,1,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T08:00:00,27.5,30.7,23.7,79.8,0,0,,0,0,13.3,9.4,299,1010,100,20,369,1.3,4,10,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-22T09:00:00,28.4,32.3,23.8,76.17,0.8,100,rain,0,0,14.4,11.9,307.7,1010,63.2,11.6,591,2.1,6,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T10:00:00,29.2,33.5,23.7,72.28,0.3,100,rain,0,0,14,12.2,319,1010,65.4,24.1,770,2.8,8,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T11:00:00,29.7,34.3,23.8,70.65,0.2,100,rain,0,0,15.5,14.4,330.1,1009,92.9,23,890,3.2,9,30,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T12:00:00,29.7,34.4,23.9,71.08,0.2,100,rain,0,0,18,17.6,330.5,1008,52.3,24.1,911,3.3,9,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T13:00:00,29.7,34.3,23.7,70.23,0.1,100,rain,0,0,19.4,19.4,330.5,1008,81.1,24.1,897,3.2,9,30,"Rain, Partially cloudy",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T14:00:00,28.8,32.7,23.5,73.09,0,0,,0,0,18.7,17.3,335.8,1007,99.8,23.8,493,1.8,5,10,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-22T15:00:00,27.4,30.7,23.9,81.24,0.5,100,rain,0,0,17.6,11.5,344.3,1007,100,23,153,0.6,2,30,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T16:00:00,26.8,29.5,23.8,83.65,0.7,100,rain,0,0,13.3,8.3,344.9,1007,100,23.2,52,0.2,1,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T17:00:00,26.3,26.3,23.6,85.12,1.8,100,rain,0,0,8.3,6.5,347.5,1008,98.4,4.5,34,0.1,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T18:00:00,25.8,25.8,23.4,86.63,2,100,rain,0,0,4.7,4.7,356.3,1008,100,4.6,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T19:00:00,26.2,26.2,23.4,84.6,0.7,100,rain,0,0,2.5,2.5,128.7,1009,100,23.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T20:00:00,25.7,25.7,23.5,87.67,0,0,,0,0,6.1,6.1,141.3,1010,100,23.8,0,0,0,10,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-22T21:00:00,25.6,25.6,23.6,88.72,0.5,100,rain,0,0,7.6,6.8,143.5,1010,100,24.1,0,0,0,10,"Rain, Overcast",rain,remote
"banyumanik, semarang, indonesia",2026-04-22T22:00:00,25.1,25.1,23.5,90.85,0,0,,0,0,8.6,7.6,142.3,1010,100,24.1,0,0,0,10,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-22T23:00:00,24.8,24.8,23.4,91.94,0,0,,0,0,8.6,7.6,150.8,1010,100,24.1,0,0,0,10,Overcast,cloudy,remote
